kasrat_id	kasrat_name	fedb_id	fedb_name	score	name_score	status
upright_row_db	DB Upright Row	Dumbbell_One-Arm_Upright_Row	Dumbbell One-Arm Upright Row	0.93	0.91	match
landmine_press	Landmine Press	Push_Press	Push Press	0.61	0.46	match
behind_neck_press	Behind-the-Neck Press	Push_Press_-_Behind_the_Neck	Push Press - Behind the Neck	0.93	0.90	match
viking_press	Viking Press	Leverage_Shoulder_Press	Leverage Shoulder Press	0.58	0.42	match
lu_raise	Lu Raise	Dumbbell_Raise	Dumbbell Raise	0.63	0.49	match
cable_y_raise	Cable Y-Raise	Front_Cable_Raise	Front Cable Raise	0.74	0.64	match
w_raise	W-Raise	Dumbbell_Raise	Dumbbell Raise	0.62	0.48	match
scarecrow	Scarecrow			-1.00	0.00	low
db_curl	Dumbbell Curl	Dumbbell_Bicep_Curl	Dumbbell Bicep Curl	0.95	0.94	match
incline_db_curl	Incline DB Curl	Incline_Dumbbell_Curl	Incline Dumbbell Curl	1.00	1.00	match
preacher_curl	Preacher Curl	Preacher_Curl	Preacher Curl	1.00	1.00	match
ez_bar_curl	EZ-Bar Curl	EZ-Bar_Curl	EZ-Bar Curl	1.00	1.00	match
cable_curl	Cable Curl	Cable_Wrist_Curl	Cable Wrist Curl	0.95	0.93	match
concentration_curl	Concentration Curl	Standing_Concentration_Curl	Standing Concentration Curl	0.95	0.93	match
spider_curl	Spider Curl	Spider_Curl	Spider Curl	0.84	1.00	match
drag_curl	Drag Curl	Drag_Curl	Drag Curl	1.00	1.00	match
zottman_curl	Zottman Curl	Zottman_Curl	Zottman Curl	1.00	1.00	match
reverse_curl	Reverse Curl	Reverse_Barbell_Curl	Reverse Barbell Curl	0.95	0.93	match
machine_curl	Machine Curl	Machine_Bicep_Curl	Machine Bicep Curl	0.95	0.93	match
cable_hammer_curl	Cable Hammer Curl	Cable_Preacher_Curl	Cable Preacher Curl	0.75	0.65	match
rope_hammer_curl	Rope Hammer Curl	Cable_Hammer_Curls_-_Rope_Attachment	Cable Hammer Curls - Rope Attachment	0.67	0.54	match
close_grip_bench	Close-Grip Bench Press	Close-Grip_Barbell_Bench_Press	Close-Grip Barbell Bench Press	0.96	0.94	match
overhead_tricep_extension	Overhead Tricep Extension	Standing_Overhead_Barbell_Triceps_Extension	Standing Overhead Barbell Triceps Extension	0.69	0.57	match
db_overhead_extension	DB Overhead Extension	Lying_Dumbbell_Tricep_Extension	Lying Dumbbell Tricep Extension	0.71	0.60	match
rope_pushdown	Rope Pushdown	Triceps_Pushdown_-_Rope_Attachment	Triceps Pushdown - Rope Attachment	0.89	0.85	match
tricep_kickback	Tricep Kickback	Tricep_Dumbbell_Kickback	Tricep Dumbbell Kickback	0.95	0.93	match
bench_dip	Bench Dip	Weighted_Bench_Dip	Weighted Bench Dip	0.78	0.91	match
jm_press	JM Press	JM_Press	JM Press	1.00	1.00	match
cable_overhead_extension	Cable Overhead Extension	Cable_Rope_Overhead_Triceps_Extension	Cable Rope Overhead Triceps Extension	0.93	0.90	match
